Form title,Behavioral & Emotional Red Flags Pre consultation Form,,,,,,,,
Purpose of Screening Tool,"The purpose of this screening tool is to help identify red flags in children with Behavioral & Emotional Problems. The screening tool is not a diagnostic test, but a way to be alerted to the presence of a redflag and decide on the appropriate course of action.",,,,,,,,
Usage,To be used as and when sent by your doctor,,,,,,,,
Condition,Sr No,Question,Options,Red Flag Trigger,Answer for patient,At a glance information ,Reference,Specialized service Recommended (Y/N),"If Specialized service Recommended, 
Specialized services(Eg. Dietary assesment, BND, EmoScreen Assessment etc)/ Speciaist referal"
"If English is selected, then these questions should appear",1,Does your child have Frequent Temper Tantrums & show aggression?,Yes,Yes,Frequent Temper Tantrums & Aggression,"Frequent temper tantrums may indicate underlying emotional regulation issues or developmental disorders. Such behavior could be symptomatic of ADHD, autism spectrum disorder, or mood disorders like depression or anxiety. It's essential to assess the context of these tantrums, their frequency, and triggers. A comprehensive evaluation, including a behavioral assessment and possibly psychological testing, should be considered to differentiate between typical developmental stages and more concerning underlying conditions. The next steps may include a referral to a pediatric psychologist or psychiatrist for further evaluation and potentially initiating a behavior management plan.                                                                        ",Article Link---                       https://www.ncbi.nlm.nih.gov/books/NBK544286/.   ,Y,EmoScreen assesment
,,,No,,,,,N,
,2,Does your child feel anxious while facing new experiences impacting daily life ?,Yes,Yes,Anxiety while facing new experiences impacting daily life,"Anxiety when facing new experiences that significantly impacts daily life can indicate an anxiety disorder, such as generalized anxiety disorder (GAD), social anxiety disorder, or specific phobias. This level of anxiety can interfere with the child's ability to function and engage in age-appropriate activities, affecting their social, academic, and family life. A detailed assessment of the child's anxiety symptoms, including their onset, duration, and specific triggers, is crucial. This should be complemented by a comprehensive clinical interview, observation, and standardized anxiety assessment tools. Depending on the findings, the next steps could involve cognitive-behavioral therapy (CBT) aimed at anxiety management, family therapy to address any contributing dynamics, and, if necessary, a psychiatric consultation for consideration of medication.","Article 1 Link ---https://www.ncbi.nlm.nih.gov/pmc/articles/PMC181152/#:~:text=Social%20Anxiety%20Disorder%3A-,More,-Than%20Just%20a

Article 2 Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3018839/#:~:text=Anxiety%20and%20Anxiety-,Disorders,-in%20Children%20and",Y,EmoScreen assesment
,,,No,,,,,N,
,3,Is your child easily distracted & find difficulty in concentration?,Yes,Yes, Gets easily distracted & find difficulty in concentration,"Easily getting distracted can be a sign of Attention Deficit Hyperactivity Disorder (ADHD), especially if it is consistent across different settings and impacts the child's academic performance or daily activities. It is crucial to differentiate between normal age-appropriate behavior and symptoms that may indicate ADHD or other learning disabilities. A detailed history, including feedback from teachers and caregivers, alongside standardized assessments for ADHD, should be part of the diagnostic process. The next steps might involve neuropsychological testing to rule out other cognitive disorders and discussing potential treatment options such as behavior therapy and/or medication.                                                                                                       ","Article Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10421702/#:~:text=The%20association-,between,-different%20sources%20of",Y,EmoScreen assesment
,,,No,,,,,N,
,4,Does your child battle over food and is fussy about eating?,Yes,Yes, Battles over food and eating and is fussy about eating,"Battles over food and eating can signify possible feeding disorders, eating disorders like ARFID (Avoidant/Restrictive Food Intake Disorder), or more general anxiety disorders. It is essential to understand the context of these battles, including any specific triggers, the child's growth and development history, and family dynamics around food. A multidisciplinary approach involving a pediatrician, nutritionist, and child psychologist or psychiatrist may be necessary for a comprehensive evaluation. The treatment plan might include nutritional counseling, family therapy, and strategies for managing anxiety or other underlying psychological issues affecting the child's eating behavior.                                                   ","Article Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4291945/#:~:text=Managing-,the,-%E2%80%98picky%20eater%E2%80%99%20dilemma",Y,EmoScreen assesment
,,,No,,,,,N,
,5,Does your child show persistant irritability & mood swings ?,Yes,Yes,Persistant irritability & mood swings ,"Persistent irritability and mood swings in children can be indicative of underlying mood disorders, such as depression or bipolar disorder, or can be symptoms of environmental stress, trauma, or other psychological issues. These symptoms can severely affect the child's relationships, school performance, and overall quality of life. A thorough evaluation is necessary to understand the full scope of the child's emotional experiences, behavioral context, and any associated symptoms (e.g., changes in sleep, appetite, or concentration). This evaluation should include interviews with the child and parents, behavioral observations, and possibly psychological testing. The differential diagnosis process might also explore the child's life for stressors or traumas. Treatment plans could include psychotherapy, family therapy, and, in some cases, psychiatric evaluation for medication management.","Article Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4470558/#:~:text=Irritability%20in-,children,-and%20adolescents%3A%20past",Y,EmoScreen assesment
,,,No,,,,,N,
