\,Screening Tool for Headache,,,,,
Purpose of Screening Tool,"The purpose of this screening tool is to help identify red flags in children with headache that may indicate a special condition. The screening tool is not a diagnostic test, but a way to be alerted to the presence of a redflag and decide on the appropriate course of action.
",,,,,
Usage,To be used as many times as sent  by your doctor,,,,,
Sr No,Question,Options,Red Flag Trigger,Answer for patient,,redflag id
1,At what age did the child start to get a headache?,<Free text>,,Child started getting headache from age of <Free text>,,10300011
,,,,,,
2,Does your child have any history of head injury?,Yes,Yes,The child with headache has history of head injury,"Conditions:
* Concussion/Mild TBI
* Skull Fracture
* Intracranial Hemorrhage
* Post-concussion Syndrome
Tests:
* Glasgow Coma Scale
* CT scan (acute injury)
* MRI (persistent symptoms)
Management:
* Immediate Care: Ensure airway, breathing, circulation
* Concussion: Rest, gradual return to activities
* Pain Relief: Acetaminophen (avoid NSAIDs)
Referral:
* ER: For severe symptoms (unconsciousness, vomiting, seizures)
* Neurology/Neurosurgery: For worsening or persistent symptoms
* Pediatrician Follow-up: For mild injuries",10300021
,,No,,,,
,,,,,,
3,Has there ever been an emergency visit/ hospitalization for headache,Yes,Yes,The child with headache has history of emergency visit/ hospitalization for headache,"Conditions to Consider:
* Migraine (with severe attacks requiring hospitalization)
* Intracranial Hemorrhage (e.g., subdural or epidural hematoma)
* Meningitis/Encephalitis (infection-related headaches)
* Secondary Headaches (due to underlying conditions like tumors or stroke)
Tests:
* Medical History & Neurological Exam
* MRI/CT scan (to rule out structural or vascular causes)
* Blood Tests (for infection, inflammation)
Management:
* Pain Relief (appropriate analgesics)
* Observation: Monitor for worsening symptoms or neurological changes
* Address Underlying Cause (e.g., treat infections, manage vascular issues)
Referral:
* Pediatric Neurologist for recurrent or severe cases
* Immediate ER Care if symptoms worsen (e.g., vomiting, altered consciousness, neurological deficits)",10300031
,,No,,,,
,,,,,,
4,Is there headache in sleep?,Yes,Yes,The child with headache with headache in sleep ,"Conditions:
* Sleep disorders (e.g., sleep apnea)
* Hypertension (high blood pressure), Intracranial hypertension
* Brain tumors or masses, Migraines
Tests:
* Sleep Study (for sleep apnea)
* Blood Pressure Monitoring (for hypertension)
* Neuroimaging (MRI/CT) (to detect intracranial issues)
* Lumbar Puncture (to measure intracranial pressure)
Management:
* Sleep Disorders: Sleep hygiene, CPAP for apnea
* Hypertension: Lifestyle changes, antihypertensives
* Migraines: Avoid triggers, prophylactic medication
* General: Hydration, pain relief, regular sleep
Referral:
* Sleep Specialist for confirmed sleep disorders
* Pediatric Neurologist for unexplained or persistent headaches
* Emergency Care if signs of increasing intracranial pressure (vomiting, altered consciousness)",10300041
,,No,,,,
,,,,,,
5,Is there vomiting in the morning?,Yes,Yes,The child with headache with Vomiting in the morning,"Conditions:
* Intracranial hypertension, Brain tumors or cysts
* GERD, Infections (e.g., meningitis), Metabolic disorders
Tests:
* Neuroimaging (MRI/CT) for intracranial issues
* Blood tests for infections or metabolic disorders
* Lumbar puncture for intracranial pressure and infection
* Upper GI Endoscopy for GERD
Management:
* GERD: Elevate head during sleep
* Hydration and Nutrition
* Medication: Antiemetics, PPIs for GERD, infection treatment
* Monitoring: Track symptoms and vomiting frequency
Referral:
* Neurology/Pediatric Neurosurgery for intracranial pathology
* Gastroenterologist for persistent GERD symptoms
* Emergency Care for severe symptoms (headache, altered consciousness, neurological deficits)",10300051
,,No,,,,
,,,,,,
6,"Does Headache worsen on cough, straining, change of positions or exercise ?",Yes,Yes,"The child with headache and headache worsen on cough, straining, change of positions, exercise","Conditions:
* Chiari malformation, Intracranial hypertension, Cervical spine disorders
* Primary cough headache, Brain tumors
Tests:
* MRI of Brain and Spine (for Chiari malformation, cervical issues, brain tumors)
* CT Scan (if MRI is unavailable)
* Lumbar Puncture (for intracranial pressure)
* Orthostatic Blood Pressure Measurements (to assess blood pressure changes)
Management:
* Avoid triggers (e.g., heavy lifting, intense exercise)
* Pain relief (use OTC meds with caution)
* Hydration (to prevent dehydration)
Referral:
* Neurology/Neurosurgery for structural issues like Chiari or tumors
* Pediatric Neurologist for cough headaches or intracranial hypertension
* Immediate Care if symptoms worsen or include severe headache, altered consciousness, or neurological signs",10300061
,,No,,,,
,,,,,,
