 ,Screening Tool for Constipation,,,,,
Purpose of Screening Tool,"The purpose of this screening tool is to help identify red flags in children with constipation that may indicate a special condition. The screening tool is not a diagnostic test, but a way to be alerted to the presence of a redflag and decide on the appropriate course of action.
",,,,,
Usage,To be used as many times as sent  by your doctor,,,,,
Sr No,Question,Options,Red Flag Trigger,Redflag response,At-a-glance information,RED FLAG ID
1,"Does your child have a history of large, hard, dry stool or shows difficulty passing stool?",Yes,Yes,"Child with constipation with history of large, hard, dry stool or shows difficulty passing stool","Possible Conditions

Common: Functional Constipation
Special: Hirschsprung Disease (in infants and young children)
Rare: Cystic Fibrosis
Differentiating Tests/Assessments

Rectal Examination: Check for impacted stool.
Abdominal X-ray: Assess stool load in the colon.
Anorectal Manometry: Especially if Hirschsprung disease is suspected.
Sweat Chloride Test: If Cystic Fibrosis is considered.
First Line Therapy & Basic Management

Dietary Changes: Increase fiber and water intake.
Stool Softeners: Laxatives like polyethylene glycol.
Manual Disimpaction: In cases of severe impaction.
Referral to a Specialist

If suspected Hirschsprung disease, refer to pediatric surgery.
For recurrent severe constipation not responsive to standard treatments, consider a pediatric gastroenterologist.",10600011
,,No,,,,
,,,,,,
2,"

Does your child have a history of incomplete evacuation/ tenesmus/ blood in stools? (choose all that apply)",Incomplete evacuation or feeling that not all the stool has passed completely,Yes,Child with constipation with history of incomplete evacuation,"Possible Conditions

Common: Functional Constipation
Special: Rectal Prolapse
Rare: Anorectal Malformation
Differentiating Tests/Assessments

Rectal Examination: To assess for abnormalities and impaction.
Defecography: To visualize evacuation process (in selected cases).
Colonoscopy: If there's a concern for structural abnormalities.
First Line Therapy & Basic Management

Behavioral Modification: Toilet training and scheduling.
Bowel Management: Laxatives and dietary changes.
Referral to a Specialist

If structural anomalies are suspected, refer to pediatric gastroenterology or surgery.
For persistent symptoms, consider a pediatric gastroenterologist.",10600021
,,"Tenesmus (feeling the urge pass stools constantly, even if bowel empty)",Yes,Child with constipation with history of tenesmus,"Possible Conditions

Common: Functional Constipation
Special: Proctitis or Anal Fissure
Rare: Inflammatory Bowel Disease (IBD)
Differentiating Tests/Assessments

Rectal Examination: Look for fissures, hemorrhoids, or other abnormalities.
Stool Tests: For infections or inflammation markers.
Endoscopy: If IBD is suspected.
First Line Therapy & Basic Management

Manage Constipation: With laxatives and dietary adjustments.
Topical Treatments: For fissures or inflammation.
Referral to a Specialist

For suspected IBD, refer to pediatric gastroenterology.
If no improvement with initial treatment, consider referral for further evaluation.",10600022
,,Blood in stools,Yes,Child with constipation with history of blood in stools along woth constipation,"Possible Conditions

Common: Anal Fissure
Special: Intestinal Polyps
Rare: Meckel's Diverticulum
Differentiating Tests/Assessments

Rectal Examination: To identify fissures.
Colonoscopy: For polyps or other intestinal abnormalities.
Meckel's Scan: If Meckel's Diverticulum is suspected.
First Line Therapy & Basic Management

Treat Constipation: To prevent straining and fissures.
Surgical Consultation: For polyps or Meckel's Diverticulum.
Referral to a Specialist

If bleeding persists or if structural abnormalities are suspected, refer to pediatric gastroenterology or surgery.",10600023
,,No such history,,,,
